camera,file_index,episode_index,from_timestamp,to_timestamp,gap_to_next,flag
wrist,0,30,938.0999999999998,970.1499999999997,0.000000,
wrist,0,31,970.1499999999997,999.5499999999997,0.000000,
wrist,0,32,999.5499999999997,1028.5999999999997,0.000000,
wrist,0,33,1028.5999999999997,1058.7999999999997,0.000000,
wrist,0,34,1058.7999999999997,1089.1499999999996,0.000000,
wrist,0,35,1089.1499999999996,1120.5499999999997,0.000000,
wrist,0,36,1120.5499999999997,1151.9499999999998,0.000000,
wrist,0,37,1151.9499999999998,1181.8999999999999,,
wrist,1,38,0.0,30.65,0.000000,
wrist,1,39,30.65,62.2,0.000000,
wrist,1,40,62.2,91.1,0.000000,
wrist,1,41,91.1,122.25,0.000000,
wrist,1,42,122.25,152.4,0.000000,
wrist,1,43,152.4,182.6,0.000000,
